name,experience,employment,schedule,city,company,description,skills,category,level,salary_from,salary_to,salary
Системный администратор,between3And6,project,remote,Екатеринбург,РЖД,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Требуется опыт: Cisco, Windows Server. Работа в продуктовой команде, современный стек, возможность роста.",Linux;Windows Server;Active Directory;VMware;Cisco,System Administrator,middle,140000.0,165000.0,150000.0
Frontend-разработчик React Native / React( офис),moreThan6,full,fullDay,Санкт-Петербург,ООО Невасофт,"Ищем Middle frontend-разработчика для создания современных интерфейсов. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: HTML, TypeScript. Agile-процессы, современный стек, регулярные performance review.",TypeScript;JavaScript;HTML;webpack,Frontend Developer,middle,160000.0,,160000.0
Системный администратор,between3And6,full,fullDay,Омск,АО ДСК АВТОБАН,"Ищем Middle системного администратора для управления IT-инфраструктурой. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Необходимо знание Linux, Docker на уверенном уровне. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Monitoring;Docker;VMware,System Administrator,middle,79000.0,,79000.0
Инженер-технолог,between3And6,full,fullDay,Казань,ООО Казанский агрегатный завод,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать SQL, Linux. Удалённая работа или офис в центре города, дружная команда.",SQL;Linux,Engineer,middle,80000.0,,80000.0
Mid-level Software Developer,between3And6,full,flexible,Уфа,СберТех,"Открыта позиция Middle инженера для решения нетривиальных задач. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. В работе будете использовать Docker, Git, Java. Удалённая работа или офис в центре города, дружная команда.",Java;Git;Linux;Docker;SQL,Engineer,middle,120000.0,160000.0,135000.0
Junior Software Engineer,between3And6,full,fullDay,Москва,Авито,"Открыта позиция Middle инженера для решения нетривиальных задач. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Обязателен практический опыт работы с Java, SQL, Docker. Официальное оформление, ДМС, корпоративное обучение и конференции.",Java;Git;Linux;Docker;SQL,Engineer,middle,95000.0,120000.0,110000.0
Инженер-проектировщик (конструктор),noExperience,full,fullDay,Новосибирск,АЛКОМ - алюминиевый профиль,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. В работе будете использовать Git, Docker. Agile-процессы, современный стек, регулярные performance review.",Git;Docker,Engineer,middle,75000.0,90000.0,82500.0
Middle Tech Lead,between3And6,full,remote,Нижний Новгород,СберТех,"Приглашаем Middle специалиста для работы над продуктом компании. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ключевые технологии стека: Docker, PostgreSQL, Git, Go. Конкурентная зарплата, гибкий график, возможность удалённой работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,75000.0,90000.0,80000.0
Backend Engineer,between3And6,part,remote,Удалённо,Контур,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Обязателен практический опыт работы с SQL, Docker, Git, Python. Agile-процессы, современный стек, регулярные performance review.",Python;Git;Linux;Docker;SQL,Engineer,middle,95000.0,120000.0,110000.0
PHP/Full-Stack разработчик (Symfony + Vue),between3And6,full,fullDay,Москва,HuntWork,"В команду нужен Middle fullstack-инженер для разработки от UI до API. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Стек команды включает Python, PostgreSQL, React, TypeScript. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;TypeScript;PostgreSQL;React,Fullstack Developer,middle,140000.0,270000.0,205000.0
Программист 1С (офис),between1And3,full,fullDay,Москва,Третьяковская галерея,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ключевые технологии стека: Linux, Docker. Работа в продуктовой команде, современный стек, возможность роста.",Docker;Linux,Engineer,middle,191600.0,,191600.0
Senior Software Engineer,between3And6,part,flexible,Санкт-Петербург,Яндекс,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: SQL, Git, REST API. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python;SQL;Git;Linux;REST API,Engineer,middle,245000.0,285000.0,265000.0
Инженер-технолог,between1And3,full,fullDay,Нижний Новгород,ООО Автотехника,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать SQL, Linux. Удалённая работа или офис в центре города, дружная команда.",SQL;Linux,Engineer,middle,100000.0,,100000.0
Инженер-конструктор,between1And3,full,fullDay,Тюмень,ООО Бэст Баррэльс,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. В работе будете использовать Docker, Linux. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Python;Docker,Engineer,middle,80000.0,130000.0,105000.0
Software Engineer,between3And6,full,remote,Казань,VK,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать Git, SQL, Docker. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Java;Git;Linux;Docker;SQL,Engineer,middle,65000.0,95000.0,80000.0
Архитектор-проектировщик,moreThan6,full,fullDay,Москва,ООО Интербилдинг,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: Linux, SQL. Agile-процессы, современный стек, регулярные performance review.",SQL;Linux,Engineer,middle,180000.0,250000.0,215000.0
Python Developer,between3And6,full,remote,Краснодар,2ГИС,"Ищем Middle backend-разработчика для создания высоконагруженных сервисов. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Необходимо знание Docker, PostgreSQL, Java на уверенном уровне. Стабильная компания, интересные технические проекты, сильная культура.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,middle,300000.0,395000.0,335000.0
Архитектор / Ведущий архитектор (BIM),between3And6,full,fullDay,Санкт-Петербург,ООО МАПРО,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Необходимо знание Python, Linux на уверенном уровне. Работа над высоконагруженным продуктом, конкурентная зарплата, ДМС.",Python;Linux,Engineer,middle,150000.0,,150000.0
Backend Developer,between3And6,full,remote,Новосибирск,Озон,"Приглашаем Middle backend-разработчика для работы над микросервисной архитектурой. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Необходимо знание PostgreSQL, FastAPI, Docker на уверенном уровне. Agile-процессы, современный стек, регулярные performance review.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,middle,205000.0,285000.0,245000.0
Ведущий инженер-проектировщик ЭОМ,moreThan6,full,fullDay,Москва,АО 47 Центральный Проектно-Изыскательский Институт,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка новых функциональных возможностей, оптимизация кода, документирование. Требуется опыт: Linux, Docker, Python. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;Docker;Linux,Engineer,middle,180000.0,200000.0,190000.0
Middle Senior Software Engineer,between3And6,project,remote,Уфа,Тинькофф,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Требуется опыт: Git, SQL, REST API, Linux. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;SQL;Git;Linux;REST API,Engineer,middle,70000.0,95000.0,80000.0
Программист Python,between1And3,full,fullDay,Ростов-на-Дону,ОООЭлектронная медицина,"Приглашаем Middle специалиста для работы над продуктом компании. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать SQL, Python, Linux. Стабильная компания, интересные технические проекты, сильная культура.",Git;Docker;Linux;Python;SQL,Engineer,middle,150000.0,200000.0,175000.0
Senior Software Engineer,between3And6,full,fullDay,Москва,Тинькофф,"Приглашаем Middle специалиста для работы над продуктом компании. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Ожидаем уверенное владение REST API, Git, SQL. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python;SQL;Git;Linux;REST API,Engineer,middle,75000.0,90000.0,80000.0
Junior Software Engineer,between3And6,project,remote,Челябинск,Тинькофф,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. Требуется опыт: Git, Linux, Docker. Agile-процессы, современный стек, регулярные performance review.",Java;Git;Linux;Docker;SQL,Engineer,middle,150000.0,190000.0,170000.0
Junior Backend Developer,between3And6,full,fullDay,Москва,СберТех,"Команда разработки приглашает Middle backend-инженера. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ожидаем уверенное владение FastAPI, Docker, Python, Redis. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,middle,205000.0,270000.0,225000.0
Software Engineer,between3And6,full,remote,Уфа,СберТех,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Требуется опыт: Linux, Git, Docker, Java. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Java;Git;Linux;Docker;SQL,Engineer,middle,130000.0,170000.0,155000.0
Junior Software Engineer,between3And6,full,remote,Тюмень,Авито,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Требуется опыт: Git, Docker, Go, PostgreSQL. Официальное оформление, ДМС, корпоративное обучение и конференции.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,140000.0,185000.0,160000.0
Backend Developer,between1And3,project,fullDay,Москва,VK,"В продуктовую команду нужен Junior разработчик для развития API-платформы. Выполнение задач из бэклога, участие в митингах команды, изучение внутренних стандартов. Стек команды включает FastAPI, Redis, Docker, Python. Стабильная компания, интересные технические проекты, сильная культура.",Python;FastAPI;PostgreSQL;Redis;Docker,Backend Developer,junior,80000.0,100000.0,90000.0
Middle Applied ML Engineer,between3And6,part,flexible,Санкт-Петербург,Тинькофф,"В ML-команду нужен Middle инженер для разработки пайплайнов от исследования до деплоя. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Стек команды включает pandas, Airflow, Python. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;sklearn;pandas;Airflow;Kubernetes,ML Engineer,middle,310000.0,395000.0,335000.0
Junior Software Engineer,between3And6,full,fullDay,Тюмень,Озон,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Требуется опыт: Docker, SQL, Java. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Java;Git;Linux;Docker;SQL,Engineer,middle,135000.0,185000.0,160000.0
Software Developer,between3And6,full,flexible,Казань,VK,"Открыта позиция Middle инженера для решения нетривиальных задач. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ожидаем уверенное владение Git, Go, Linux, Docker. Стабильная компания, интересные технические проекты, сильная культура.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,75000.0,85000.0,80000.0
Junior Software Engineer,between3And6,full,remote,Краснодар,Яндекс,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать Linux, SQL. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;Git;Linux;Docker;SQL,Engineer,middle,95000.0,115000.0,105000.0
Системный администратор,between1And3,full,fullDay,село Сукко,ОООМореми,"Ищем Middle системного администратора для управления IT-инфраструктурой. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Необходимо знание Linux, Docker на уверенном уровне. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Monitoring;Docker;VMware,System Administrator,middle,60900.0,69600.0,65250.0
Ведущий архитектор,between1And3,full,fullDay,Москва,"Фаворит, Международный кадровый центр","Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ключевые технологии стека: Python, Linux. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Linux;Python,Engineer,middle,230000.0,,230000.0
Middle Backend Developer,between3And6,full,fullDay,Москва,Авито,"Ищем Middle backend-разработчика для создания высоконагруженных сервисов. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ключевые технологии стека: Django, Python. Работа в продуктовой команде, современный стек, возможность роста.",Python;Django,Backend Developer,middle,,70000.0,70000.0
Tech Lead,between3And6,full,fullDay,Санкт-Петербург,Контур,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Требуется опыт: Git, Linux, REST API, Python. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;SQL;Git;Linux;REST API,Engineer,middle,95000.0,120000.0,105000.0
Middle Sysadmin,between3And6,full,remote,Челябинск,РЖД,"Приглашаем Middle сисадмина для обслуживания корпоративных систем. Разработка новых функциональных возможностей, оптимизация кода, документирование. Стек команды включает Docker, Bash. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Linux;Bash;Docker;Ansible;Zabbix,System Administrator,middle,65000.0,95000.0,80000.0
Mid-level Software Engineer,between3And6,full,fullDay,Новосибирск,Озон,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Ключевые технологии стека: Python, SQL. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;Git;Linux;Docker;SQL,Engineer,middle,135000.0,175000.0,150000.0
Backend Engineer,between1And3,full,remote,Самара,Тинькофф,"Ищем Junior backend-разработчика для создания высоконагруженных сервисов. Разработка задач под руководством тимлида, написание тестов, участие в code review. Стек команды включает Java, Docker, PostgreSQL. Работа в продуктовой команде, современный стек, возможность роста.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,junior,105000.0,135000.0,115000.0
Middle Software Engineer,between3And6,full,remote,Санкт-Петербург,Selectel,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение Git, Linux. Официальное оформление, ДМС, корпоративное обучение и конференции.",Python;SQL;Git;Linux;REST API,Engineer,middle,100000.0,130000.0,115000.0
Middle AI Engineer,between1And3,full,fullDay,Удалённо,Озон,"Ищем Junior AI-разработчика для построения интеллектуальных продуктов. Участие в разработке под наставничеством старших коллег, документирование кода. В работе будете использовать HuggingFace, Docker. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Python;PyTorch;HuggingFace;LLM;Docker,AI Engineer,junior,130000.0,175000.0,155000.0
Tech Lead,between3And6,full,flexible,Москва,Selectel,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Обязателен практический опыт работы с Python, SQL. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python;Git;Linux;Docker;SQL,Engineer,middle,130000.0,175000.0,150000.0
IT Administrator,between3And6,full,flexible,Уфа,ВТБ,"Ищем Middle системного администратора для управления IT-инфраструктурой. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Необходимо знание PostgreSQL, Linux на уверенном уровне. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Bash;Nginx;PostgreSQL;Git,System Administrator,middle,75000.0,95000.0,80000.0
Middle Software Engineer,between3And6,full,fullDay,Казань,Авито,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Ключевые технологии стека: Git, Go, PostgreSQL. Стабильная компания, интересные технические проекты, сильная культура.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,105000.0,125000.0,115000.0
Middle Backend Developer,between3And6,project,fullDay,Санкт-Петербург,Озон,"Ищем Middle backend-разработчика для создания высоконагруженных сервисов. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ожидаем уверенное владение Python. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Python,Backend Developer,middle,,300000.0,300000.0
Senior Sysadmin,between3And6,full,fullDay,Москва,РЖД,"В IT-отдел нужен Middle специалист для поддержки серверов и сетей. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: Linux, Kubernetes. Удалённая работа или офис в центре города, дружная команда.",Linux;Kubernetes;Docker;Prometheus;Grafana,System Administrator,middle,75000.0,90000.0,85000.0
Программист С++,between3And6,full,fullDay,Казань,"АОИНКОМСИСТЕМ, НИЦ","Ищем Middle IT-специалиста для работы над технически сложными задачами. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Основной инструментарий: Git, Linux, SQL, Docker. Удалённая работа или офис в центре города, дружная команда.",SQL;Git;Python;Docker;Linux,Engineer,middle,250000.0,,250000.0
Архитектор-проектировщик 1 категории (бюро комплексного проектирования),between3And6,full,fullDay,Санкт-Петербург,Страна Девелопмент,"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ключевые технологии стека: SQL, Git. Работа над высоконагруженным продуктом, конкурентная зарплата, ДМС.",Git;SQL,Engineer,middle,126000.0,,126000.0
AI Engineer,moreThan6,full,remote,Уфа,Авито,"В команду AI-разработки нужен Senior инженер для создания мультиагентных систем. Ответственность за технические решения команды, декомпозиция задач, наставничество. Стек команды включает LLM, Docker, HuggingFace. Agile-процессы, современный стек, регулярные performance review.",Python;PyTorch;HuggingFace;LLM;Docker,AI Engineer,senior,490000.0,635000.0,540000.0
Tech Lead,between3And6,full,remote,Екатеринбург,Тинькофф,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Требуется опыт: Linux, SQL, Python, Git. Agile-процессы, современный стек, регулярные performance review.",Python;Git;Linux;Docker;SQL,Engineer,middle,80000.0,95000.0,85000.0
API Developer,between3And6,full,remote,Удалённо,Тинькофф,"Команда разработки приглашает Middle backend-инженера. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение Docker, TypeScript. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Node.js;TypeScript;MongoDB;Docker;Git,Backend Developer,middle,120000.0,180000.0,150000.0
LLM Engineer,between1And3,full,remote,Челябинск,VK,"В команду AI-разработки нужен Junior инженер для создания мультиагентных систем. Выполнение задач из бэклога, участие в митингах команды, изучение внутренних стандартов. Ключевые технологии стека: Python, Pinecone, LangGraph, OpenAI. Agile-процессы, современный стек, регулярные performance review.",Python;LangGraph;OpenAI;Pinecone;FastAPI,AI Engineer,junior,135000.0,165000.0,155000.0
Middle Go Developer,between3And6,part,remote,Новосибирск,Яндекс,"Приглашаем Middle backend-разработчика для работы над микросервисной архитектурой. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Ключевые технологии стека: PostgreSQL, Java, Kafka. Стабильная компания, интересные технические проекты, сильная культура.",Java;Spring;PostgreSQL;Kafka;Docker,Backend Developer,middle,120000.0,160000.0,135000.0
Software Developer,between3And6,project,fullDay,Уфа,СберТех,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка новых функциональных возможностей, оптимизация кода, документирование. Стек команды включает SQL, Docker. Удалённая работа или офис в центре города, дружная команда.",Python;Git;Linux;Docker;SQL,Engineer,middle,90000.0,115000.0,100000.0
Ведущий инженер по качеству,between1And3,full,fullDay,Новосибирск,АОНовосибирский приборостроительный завод («НПЗ»),"В нашу команду требуется Middle инженер-разработчик с профильным опытом. Разработка новых функциональных возможностей, оптимизация кода, документирование. Стек команды включает Git, Docker, Linux. Работа над высоконагруженным продуктом, конкурентная зарплата, ДМС.",Docker;Linux;SQL;Python;Git,Engineer,middle,,87600.0,87600.0
Senior Software Engineer,moreThan6,full,fullDay,Краснодар,Тинькофф,"В нашу команду требуется Lead инженер-разработчик с профильным опытом. Техническое руководство командой, постановка задач, взаимодействие со стейкхолдерами. Требуется опыт: REST API, Linux, Git. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Python;SQL;Git;Linux;REST API,Engineer,lead,145000.0,190000.0,175000.0
Senior Backend Developer,between1And3,project,fullDay,Самара,СберТех,"Ищем Junior backend-разработчика для создания высоконагруженных сервисов. Участие в разработке под наставничеством старших коллег, документирование кода. Требуется опыт: gRPC, PostgreSQL, Redis, Kubernetes. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Go;gRPC;PostgreSQL;Redis;Kubernetes,Backend Developer,junior,75000.0,95000.0,80000.0
Mid-level Middle Software Engineer,between3And6,project,fullDay,Краснодар,Selectel,"Открыта позиция Middle инженера для решения нетривиальных задач. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. В работе будете использовать Linux, SQL, Docker, Python. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",Python;Git;Linux;Docker;SQL,Engineer,middle,170000.0,235000.0,210000.0
Mid-level Backend Engineer,between3And6,project,remote,Красноярск,Selectel,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Ожидаем уверенное владение Java, Docker. Работа над высоконагруженным продуктом с миллионами пользователей, ДМС.",Java;Git;Linux;Docker;SQL,Engineer,middle,180000.0,210000.0,195000.0
Software Developer,between3And6,full,remote,Нижний Новгород,Контур,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Требуется опыт: Docker, PostgreSQL, Go. Agile-процессы, современный стек, регулярные performance review.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,110000.0,130000.0,120000.0
Senior Software Engineer,between3And6,full,fullDay,Москва,VK,"Развиваем продукт и ищем Middle разработчика с опытом и желанием расти. Разработка новых функциональных возможностей, оптимизация кода, документирование. Необходимо знание SQL, Python, Linux на уверенном уровне. Официальное оформление, ДМС, корпоративное обучение и конференции.",Python;Git;Linux;Docker;SQL,Engineer,middle,145000.0,170000.0,155000.0
Junior Backend Developer,between1And3,project,flexible,Казань,Авито,"Ищем Junior backend-разработчика для создания высоконагруженных сервисов. Разработка задач под руководством тимлида, написание тестов, участие в code review. Основной инструментарий: Python. Удалённая работа или офис в центре города, дружная команда.",Python,Backend Developer,junior,100000.0,130000.0,115000.0
