id,name,salary_from,salary_to,salary_currency,experience,employment,schedule,city,company,description,skills,url
27,Middle Data Analyst,,162000.0,RUR,between3And6,full,fullDay,Саратов,Акрос,Исследование и внедрение новых подходов в области машинного обучения,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/27
28,ML Engineer,1200.0,3200.0,USD,noExperience,full,fullDay,Москва,Ростелеком,Разработка backend сервисов на Python с использованием современных фреймворков,Python;PyTorch;Kubernetes;MLflow;Airflow;REST API,https://hh.ru/vacancy/28
29,Staff iOS Developer,900.0,1800.0,USD,between1And3,full,remote,Санкт-Петербург,ВТБ,Разработка backend сервисов на Python с использованием современных фреймворков,Swift;Objective-C;Xcode;Git;REST API,https://hh.ru/vacancy/29
30,Senior Python Developer,193000.0,374000.0,RUR,between1And3,full,flexible,Новосибирск,Сколтех,Проектирование архитектуры микросервисов и интеграций с внешними системами,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis,https://hh.ru/vacancy/30
31,NLP Engineer,1300.0,2400.0,EUR,between1And3,part,remote,Уфа,Акрос,Разработка API и интеграция с внешними сервисами и базами данных,Python;BERT;HuggingFace;PyTorch;spaCy,https://hh.ru/vacancy/31
32,Senior Data Engineer,143000.0,318000.0,RUR,between3And6,full,remote,Москва,Сбер,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;Spark;Airflow;Kafka;SQL;Git;Elasticsearch,https://hh.ru/vacancy/32
33,Middle Data Analyst,85000.0,209000.0,RUR,moreThan6,full,remote,Москва,EPAM,Разработка мобильных приложений с использованием современных технологий,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/33
34,Junior Business Analyst,54000.0,99000.0,RUR,noExperience,full,fullDay,Москва,Яндекс,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Excel;Tableau;Power BI;BPMN,https://hh.ru/vacancy/34
35,Middle MLOps Engineer,,431000.0,RUR,moreThan6,full,fullDay,Москва,Wrike,Исследование и внедрение новых подходов в области машинного обучения,Python;Docker;Kubernetes;MLflow;Airflow;GraphQL,https://hh.ru/vacancy/35
36,Staff Java Developer,100000.0,255000.0,RUR,between1And3,full,fullDay,Москва,Озон,Разработка API и интеграция с внешними сервисами и базами данных,Java;Spring;Kafka;PostgreSQL;Docker;Git;Elasticsearch,https://hh.ru/vacancy/36
37,Lead NLP Engineer,140000.0,323000.0,RUR,between3And6,full,remote,Новосибирск,Wildberries,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;BERT;HuggingFace;PyTorch;spaCy;MongoDB,https://hh.ru/vacancy/37
38,Middle Data Engineer,1400.0,3000.0,EUR,between3And6,full,flexible,Москва,EPAM,Разработка мобильных приложений с использованием современных технологий,Python;Spark;Airflow;Kafka;SQL;Git,https://hh.ru/vacancy/38
39,Frontend Developer,,2600.0,USD,moreThan6,full,fullDay,Нижний Новгород,Авито,Сопровождение и развитие MLOps платформы для команды data science,JavaScript;React;TypeScript;CSS;HTML;Scrum,https://hh.ru/vacancy/39
40,Middle Backend Developer,83000.0,176000.0,RUR,between3And6,full,fullDay,Краснодар,Мегафон,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;Django;Redis;PostgreSQL;Linux;MongoDB;gRPC,https://hh.ru/vacancy/40
41,Senior Data Scientist,66000.0,172000.0,RUR,noExperience,full,flexible,Москва,VK,Разработка backend сервисов на Python с использованием современных фреймворков,Python;sklearn;pandas;SQL;Jupyter;Agile;Elasticsearch,https://hh.ru/vacancy/41
42,Frontend Developer,56000.0,128000.0,RUR,noExperience,full,remote,Санкт-Петербург,Газпромнефть,Участие в исследованиях в области компьютерного зрения и обработки изображений,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/42
43,Staff Android Developer,98000.0,225000.0,RUR,between3And6,full,fullDay,Уфа,Яндекс,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Kotlin;Android;Java;Git;REST API,https://hh.ru/vacancy/43
44,Lead DevOps Engineer,209000.0,414000.0,RUR,moreThan6,full,remote,Санкт-Петербург,Газпромнефть,Проектирование архитектуры микросервисов и интеграций с внешними системами,Docker;Kubernetes;Terraform;Jenkins;Linux;gRPC,https://hh.ru/vacancy/44
45,Middle Go Developer,128000.0,329000.0,RUR,between3And6,full,fullDay,Москва,Газпромнефть,Разработка API и интеграция с внешними сервисами и базами данных,Go;gRPC;PostgreSQL;Redis;Kubernetes;REST API;Git,https://hh.ru/vacancy/45
46,Senior Python Developer,211000.0,450000.0,RUR,between3And6,full,fullDay,Москва,Тинькофф,Исследование и внедрение новых подходов в области машинного обучения,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;Scrum,https://hh.ru/vacancy/46
47,Python Developer,102000.0,242000.0,RUR,between3And6,full,fullDay,Казань,Лаборатория Касперского,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,Python;FastAPI;PostgreSQL;Docker;Git,https://hh.ru/vacancy/47
48,Junior Data Scientist,52000.0,91000.0,RUR,between1And3,volunteer,fullDay,Санкт-Петербург,2ГИС,Разработка мобильных приложений с использованием современных технологий,Python;pandas;sklearn;numpy;SQL;Elasticsearch;GraphQL,https://hh.ru/vacancy/48
49,Lead Frontend Developer,69000.0,193000.0,RUR,between3And6,full,remote,Санкт-Петербург,Лаборатория Касперского,Создание и поддержка ML моделей для продуктовых задач компании,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/49
50,Data Analyst,43000.0,90000.0,RUR,noExperience,full,fullDay,Москва,SKB Kontur,Разработка мобильных приложений с использованием современных технологий,SQL;Python;Tableau;Excel;Power BI;gRPC,https://hh.ru/vacancy/50
51,Senior Frontend Developer,,188000.0,RUR,between3And6,full,fullDay,Москва,Wildberries,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,JavaScript;React;TypeScript;CSS;HTML;GraphQL,https://hh.ru/vacancy/51
52,Junior Python Developer,58000.0,166000.0,RUR,noExperience,part,fullDay,Уфа,VK,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;FastAPI;PostgreSQL;Docker;Git;MongoDB;Elasticsearch,https://hh.ru/vacancy/52
53,Junior Data Scientist,77000.0,,RUR,moreThan6,full,fullDay,Москва,ГК Иннополис,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;pandas;sklearn;numpy;SQL;Scrum,https://hh.ru/vacancy/53
54,Junior Data Scientist,87000.0,172000.0,RUR,noExperience,project,flexible,Новосибирск,МТС,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;sklearn;pandas;SQL;Jupyter,https://hh.ru/vacancy/54
55,Lead DevOps Engineer,145000.0,324000.0,RUR,between3And6,full,fullDay,Казань,Mail.ru,Разработка NLP-систем для обработки текстов на русском и английском языках,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/55
56,ML Engineer,173000.0,302000.0,RUR,between1And3,full,fullDay,Москва,Газпромнефть,Разработка backend сервисов на Python с использованием современных фреймворков,Python;PyTorch;Kubernetes;MLflow;Airflow;MongoDB;Linux,https://hh.ru/vacancy/56
57,Middle Python Developer,98000.0,230000.0,RUR,between3And6,volunteer,remote,Казань,Лаборатория Касперского,Разработка мобильных приложений с использованием современных технологий,Python;FastAPI;PostgreSQL;Docker;Git;MongoDB,https://hh.ru/vacancy/57
58,Junior Data Scientist,83000.0,170000.0,RUR,moreThan6,full,remote,Пермь,Evrone,Сопровождение и развитие MLOps платформы для команды data science,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/58
59,Senior DevOps Engineer,1400.0,3300.0,EUR,between3And6,full,fullDay,Новосибирск,Мегафон,Создание и поддержка ML моделей для продуктовых задач компании,Docker;Kubernetes;Terraform;Jenkins;Linux;Elasticsearch,https://hh.ru/vacancy/59
60,ML Engineer,163000.0,295000.0,RUR,between1And3,full,shift,Москва,Мегафон,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;PyTorch;Kubernetes;MLflow;Airflow,https://hh.ru/vacancy/60
61,Computer Vision Engineer,206000.0,362000.0,RUR,between3And6,full,remote,Москва,VK,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;OpenCV;PyTorch;CUDA;TensorFlow,https://hh.ru/vacancy/61
62,Junior Java Developer,166000.0,,RUR,moreThan6,full,remote,Краснодар,Альфа-Банк,Разработка NLP-систем для обработки текстов на русском и английском языках,Java;Spring;Kafka;PostgreSQL;Docker;gRPC;REST API,https://hh.ru/vacancy/62
63,Senior Python Developer,278000.0,452000.0,RUR,moreThan6,full,fullDay,Волгоград,Лаборатория Касперского,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;REST API;Scrum,https://hh.ru/vacancy/63
64,Lead ML Engineer,167000.0,401000.0,RUR,between3And6,full,flexible,Москва,2ГИС,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;PyTorch;Kubernetes;MLflow;Airflow;Agile;GraphQL,https://hh.ru/vacancy/64
65,Senior MLOps Engineer,2100.0,4700.0,USD,moreThan6,full,remote,Москва,Лаборатория Касперского,Создание и поддержка ML моделей для продуктовых задач компании,Python;Docker;Kubernetes;MLflow;Airflow;GraphQL;Git,https://hh.ru/vacancy/65
66,Frontend Developer,89000.0,183000.0,RUR,between3And6,full,flexible,Казань,Wildberries,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/66
67,Junior Data Analyst,,2200.0,USD,moreThan6,full,fullDay,Москва,SKB Kontur,Разработка backend сервисов на Python с использованием современных фреймворков,SQL;Python;Tableau;Excel;Power BI,https://hh.ru/vacancy/67
68,Staff MLOps Engineer,150000.0,301000.0,RUR,between1And3,full,flexible,Екатеринбург,1С,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;Docker;Kubernetes;MLflow;Airflow;REST API,https://hh.ru/vacancy/68
69,Product Analyst,89000.0,164000.0,RUR,between3And6,full,fullDay,Санкт-Петербург,EPAM,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,SQL;Python;Amplitude;Mixpanel;A/B testing;Linux;Git,https://hh.ru/vacancy/69
70,Junior Data Scientist,152000.0,384000.0,RUR,moreThan6,full,remote,Ростов-на-Дону,Озон,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,Python;sklearn;pandas;SQL;Jupyter;Elasticsearch,https://hh.ru/vacancy/70
71,Middle iOS Developer,1100.0,2100.0,USD,between1And3,full,fullDay,Москва,Газпромнефть,Разработка мобильных приложений с использованием современных технологий,Swift;Objective-C;Xcode;Git;REST API,https://hh.ru/vacancy/71
72,Lead Java Developer,900.0,1800.0,USD,noExperience,full,fullDay,Екатеринбург,Сколтех,Проектирование архитектуры микросервисов и интеграций с внешними системами,Java;Spring;Kafka;PostgreSQL;Docker;Agile;Linux,https://hh.ru/vacancy/72
73,Data Scientist,100000.0,217000.0,RUR,between1And3,full,fullDay,Москва,Лаборатория Касперского,Разработка API и интеграция с внешними сервисами и базами данных,Python;sklearn;pandas;SQL;Jupyter;GraphQL;Scrum,https://hh.ru/vacancy/73
74,Senior Java Developer,,252000.0,RUR,between1And3,full,shift,Москва,Positive Technologies,Создание и поддержка ML моделей для продуктовых задач компании,Java;Spring;Kafka;PostgreSQL;Docker;Scrum,https://hh.ru/vacancy/74
75,Junior Go Developer,,283000.0,RUR,between1And3,part,fullDay,Ростов-на-Дону,Тинькофф,Исследование и внедрение новых подходов в области машинного обучения,Go;gRPC;PostgreSQL;Redis;Kubernetes;Agile;Git,https://hh.ru/vacancy/75
76,Senior ML Engineer,150000.0,362000.0,RUR,between1And3,full,fullDay,Москва,Авито,Создание и поддержка ML моделей для продуктовых задач компании,Python;PyTorch;Kubernetes;MLflow;Airflow;Linux;Elasticsearch,https://hh.ru/vacancy/76
77,Junior Android Developer,148000.0,,RUR,moreThan6,part,remote,Казань,DataArt,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Kotlin;Android;Java;Git;REST API;MongoDB;gRPC,https://hh.ru/vacancy/77
78,Computer Vision Engineer,176000.0,405000.0,RUR,between3And6,full,fullDay,Самара,Яндекс,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;OpenCV;PyTorch;CUDA;TensorFlow;gRPC,https://hh.ru/vacancy/78
79,Middle Frontend Developer,83000.0,,RUR,between3And6,full,fullDay,Волгоград,Сбер,Анализ больших данных и построение дата-пайплайнов для бизнеса,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/79
80,Senior Data Engineer,144000.0,310000.0,RUR,between3And6,full,fullDay,Москва,Озон,Разработка мобильных приложений с использованием современных технологий,Python;Spark;Airflow;Kafka;SQL;Linux,https://hh.ru/vacancy/80
81,Lead Data Engineer,1600.0,3400.0,USD,between3And6,full,fullDay,Воронеж,Озон,Разработка backend сервисов на Python с использованием современных фреймворков,Python;Spark;Airflow;Kafka;SQL;gRPC,https://hh.ru/vacancy/81
82,Lead Product Analyst,,188000.0,RUR,between3And6,full,fullDay,Москва,1С,Сопровождение и развитие MLOps платформы для команды data science,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/82
83,Frontend Developer,600.0,1200.0,USD,noExperience,project,remote,Москва,Газпромнефть,Создание рекомендательных систем на основе коллаборативной фильтрации,JavaScript;React;TypeScript;CSS;HTML;Elasticsearch;Scrum,https://hh.ru/vacancy/83
84,Java Developer,135000.0,307000.0,RUR,between3And6,part,fullDay,Москва,ИТМО,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Java;Spring;Kafka;PostgreSQL;Docker;Agile,https://hh.ru/vacancy/84
85,Middle Data Scientist,107000.0,278000.0,RUR,between1And3,full,fullDay,Казань,2ГИС,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;sklearn;pandas;SQL;Jupyter;Linux;Scrum,https://hh.ru/vacancy/85
86,Junior Python Developer,78000.0,185000.0,RUR,between1And3,full,fullDay,Санкт-Петербург,Озон,Разработка мобильных приложений с использованием современных технологий,Python;FastAPI;PostgreSQL;Docker;Git;Scrum,https://hh.ru/vacancy/86
87,Junior Data Scientist,51000.0,109000.0,RUR,between1And3,project,fullDay,Воронеж,Акрос,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;pandas;sklearn;numpy;SQL;gRPC;Linux,https://hh.ru/vacancy/87
88,Junior Data Scientist,1300.0,3500.0,USD,between3And6,full,fullDay,Уфа,Mail.ru,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;sklearn;pandas;SQL;Jupyter;Agile,https://hh.ru/vacancy/88
89,Junior DevOps Engineer,,337000.0,RUR,between3And6,full,fullDay,Санкт-Петербург,Wildberries,Разработка NLP-систем для обработки текстов на русском и английском языках,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/89
90,Lead Business Analyst,700.0,1700.0,USD,between1And3,project,fullDay,Санкт-Петербург,Акрос,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Excel;Tableau;Power BI;BPMN;gRPC;Elasticsearch,https://hh.ru/vacancy/90
91,Junior Go Developer,,252000.0,RUR,between1And3,full,fullDay,Москва,Альфа-Банк,Анализ больших данных и построение дата-пайплайнов для бизнеса,Go;gRPC;PostgreSQL;Redis;Kubernetes;Scrum;gRPC,https://hh.ru/vacancy/91
92,Backend Developer,83000.0,174000.0,RUR,between3And6,part,fullDay,Санкт-Петербург,Авито,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;Django;Redis;PostgreSQL;Linux,https://hh.ru/vacancy/92
93,Computer Vision Engineer,151000.0,292000.0,RUR,between1And3,full,remote,Москва,Wildberries,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;OpenCV;PyTorch;CUDA;TensorFlow;REST API;Agile,https://hh.ru/vacancy/93
94,Senior Business Analyst,77000.0,143000.0,RUR,between1And3,full,fullDay,Нижний Новгород,Яндекс,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Excel;Tableau;Power BI;BPMN;Agile,https://hh.ru/vacancy/94
95,Lead Business Analyst,59000.0,127000.0,RUR,between1And3,project,flexible,Москва,Акрос,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,SQL;Excel;Tableau;Power BI;BPMN;REST API,https://hh.ru/vacancy/95
96,Go Developer,177000.0,469000.0,RUR,moreThan6,full,remote,Москва,Luxoft,Создание и поддержка ML моделей для продуктовых задач компании,Go;gRPC;PostgreSQL;Redis;Kubernetes;Linux,https://hh.ru/vacancy/96
97,NLP Engineer,115000.0,234000.0,RUR,noExperience,full,fullDay,Москва,Тинькофф,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;BERT;HuggingFace;PyTorch;spaCy,https://hh.ru/vacancy/97
98,Junior Data Scientist,48000.0,102000.0,RUR,between1And3,full,fullDay,Саратов,ГК Иннополис,Разработка мобильных приложений с использованием современных технологий,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/98
99,Go Developer,113000.0,241000.0,RUR,between1And3,full,flexible,Казань,Озон,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Go;gRPC;PostgreSQL;Redis;Kubernetes,https://hh.ru/vacancy/99
100,Middle ML Engineer,,363000.0,RUR,between1And3,full,fullDay,Москва,1С,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;PyTorch;Kubernetes;MLflow;Airflow;Git;Scrum,https://hh.ru/vacancy/100
101,Senior Computer Vision Engineer,112000.0,229000.0,RUR,noExperience,full,flexible,Санкт-Петербург,Wildberries,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;OpenCV;PyTorch;CUDA;TensorFlow,https://hh.ru/vacancy/101
102,Product Analyst,85000.0,200000.0,RUR,between3And6,full,remote,Москва,Wrike,Работа с большими объёмами данных в Spark и Hadoop кластерах,SQL;Python;Amplitude;Mixpanel;A/B testing;Git,https://hh.ru/vacancy/102
103,Senior Android Developer,127000.0,247000.0,RUR,moreThan6,full,fullDay,Нижний Новгород,Mail.ru,Анализ больших данных и построение дата-пайплайнов для бизнеса,Kotlin;Android;Java;Git;REST API;Elasticsearch;gRPC,https://hh.ru/vacancy/103
104,Junior Android Developer,,,RUR,noExperience,full,remote,Нижний Новгород,Ростелеком,Создание рекомендательных систем на основе коллаборативной фильтрации,Kotlin;Android;Java;Git;REST API,https://hh.ru/vacancy/104
105,Middle Computer Vision Engineer,116000.0,218000.0,RUR,noExperience,full,remote,Воронеж,DataArt,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;OpenCV;PyTorch;CUDA;TensorFlow;REST API,https://hh.ru/vacancy/105
106,Junior Data Scientist,81000.0,145000.0,RUR,moreThan6,full,fullDay,Москва,Акрос,Исследование и внедрение новых подходов в области машинного обучения,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/106
107,Senior Python Developer,,352000.0,RUR,between3And6,full,fullDay,Новосибирск,ГК Иннополис,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;Linux;gRPC,https://hh.ru/vacancy/107
108,Lead DevOps Engineer,191000.0,350000.0,RUR,moreThan6,full,flexible,Новосибирск,Сбер,Создание рекомендательных систем на основе коллаборативной фильтрации,Docker;Kubernetes;Terraform;Jenkins;Linux;MongoDB;REST API,https://hh.ru/vacancy/108
109,Business Analyst,68000.0,183000.0,RUR,between3And6,project,shift,Санкт-Петербург,ГК Иннополис,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,SQL;Excel;Tableau;Power BI;BPMN;MongoDB,https://hh.ru/vacancy/109
110,iOS Developer,83000.0,,RUR,between1And3,full,remote,Москва,Раифайзен,Сопровождение и развитие MLOps платформы для команды data science,Swift;Objective-C;Xcode;Git;REST API;Linux,https://hh.ru/vacancy/110
111,Lead iOS Developer,115000.0,251000.0,RUR,between3And6,part,remote,Санкт-Петербург,DataArt,Построение аналитических дашбордов и отчётности для принятия бизнес-решений,Swift;Objective-C;Xcode;Git;REST API;MongoDB,https://hh.ru/vacancy/111
112,Middle Product Analyst,53000.0,127000.0,RUR,noExperience,full,shift,Нижний Новгород,Mail.ru,Создание рекомендательных систем на основе коллаборативной фильтрации,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/112
113,Junior Business Analyst,91000.0,152000.0,RUR,between3And6,full,flexible,Самара,Озон,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,SQL;Excel;Tableau;Power BI;BPMN;Scrum,https://hh.ru/vacancy/113
114,Middle Product Analyst,124000.0,256000.0,RUR,moreThan6,project,fullDay,Москва,Wrike,Разработка API и интеграция с внешними сервисами и базами данных,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/114
115,Junior NLP Engineer,125000.0,305000.0,RUR,between1And3,full,remote,Москва,1С,Разработка backend сервисов на Python с использованием современных фреймворков,Python;BERT;HuggingFace;PyTorch;spaCy;GraphQL,https://hh.ru/vacancy/115
116,Senior DevOps Engineer,136000.0,258000.0,RUR,between1And3,full,remote,Москва,Лаборатория Касперского,Анализ больших данных и построение дата-пайплайнов для бизнеса,Docker;Kubernetes;Terraform;Jenkins;Linux;Agile,https://hh.ru/vacancy/116
117,Android Developer,95000.0,194000.0,RUR,between3And6,full,fullDay,Казань,Лаборатория Касперского,Создание и поддержка ML моделей для продуктовых задач компании,Kotlin;Android;Java;Git;REST API;Scrum;Agile,https://hh.ru/vacancy/117
118,Junior Data Analyst,68000.0,,RUR,between3And6,full,remote,Москва,Mail.ru,Проектирование архитектуры микросервисов и интеграций с внешними системами,SQL;Python;Tableau;Excel;Power BI;REST API;Git,https://hh.ru/vacancy/118
